							Greedy					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	2	42	300	0.5	0.33	00:14:39.00	
	10	3	42	100	1.0	0.33	00:00:00.00	
	10	3	42	200	1.0	0.33	00:00:00.00	
	10	3	42	500	1.0	0.33	00:00:00.00	
	10	3	42	400	1.0	0.33	00:00:00.00	
	10	3	42	300	1.0	0.33	00:00:00.00	
	10	4	42	100	0.5	0.33	00:00:00.00	
	10	4	42	200	0.5	0.33	00:00:00.00	
	10	4	42	500	0.5	0.33	00:00:00.00	
	10	4	42	400	0.5	0.33	00:00:00.00	
	10	4	42	300	0.5	0.33	00:00:00.00	
	10	3	42	100	0.5	0.33	00:06:29.00	
	10	3	42	200	0.5	0.33	00:06:29.00	
	10	3	42	500	0.5	0.33	00:06:29.00	
	10	3	42	400	0.5	0.33	00:06:29.00	
	10	3	42	300	0.5	0.33	00:06:29.00	
	10	2	42	100	1.0	0.66	00:09:01.00	
	10	2	42	200	1.0	0.66	00:09:01.00	
	10	2	42	500	1.0	0.66	00:09:01.00	
	10	2	42	400	1.0	0.66	00:09:01.00	
	10	2	42	300	1.0	0.66	00:09:01.00	
	10	4	42	100	0.5	1.0	00:08:00.00	
	10	4	42	200	0.5	1.0	00:08:00.00	
	10	4	42	500	0.5	1.0	00:08:00.00	
	10	4	42	400	0.5	1.0	00:08:00.00	
	10	4	42	300	0.5	1.0	00:08:00.00	
	10	4	42	100	0.5	0.66	00:00:00.00	
	10	4	42	200	0.5	0.66	00:00:00.00	
	10	4	42	500	0.5	0.66	00:00:00.00	
	10	4	42	400	0.5	0.66	00:00:00.00	
	10	4	42	300	0.5	0.66	00:00:00.00	
	10	3	42	100	0.5	0.66	00:19:15.00	
	10	3	42	200	0.5	0.66	00:19:15.00	
	10	3	42	500	0.5	0.66	00:19:15.00	
	10	3	42	400	0.5	0.66	00:19:15.00	
	10	3	42	300	0.5	0.66	00:19:15.00	
	10	3	42	100	0.0	0.0	00:00:48.00	
	10	3	42	200	0.0	0.0	00:00:48.00	
	10	3	42	500	0.0	0.0	00:00:48.00	
	10	3	42	400	0.0	0.0	00:00:48.00	
	10	3	42	300	0.0	0.0	00:00:48.00	
	10	2	42	100	0.0	0.0	00:11:37.00	
	10	2	42	200	0.0	0.0	00:11:37.00	
	10	2	42	500	0.0	0.0	00:11:37.00	
	10	2	42	400	0.0	0.0	00:11:37.00	
	10	2	42	300	0.0	0.0	00:11:37.00	
	10	4	42	100	1.0	0.66	00:00:00.00	
	10	4	42	200	1.0	0.66	00:00:00.00	
	10	4	42	500	1.0	0.66	00:00:00.00	
	10	4	42	400	1.0	0.66	00:00:00.00	
	10	4	42	300	1.0	0.66	00:00:00.00	

AVG OVERSPENT TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Greedy	
	10	3	42		1.0	0.66	00:00:00.00	
	10	4	42		1.0	1.0	00:00:00.00	
	10	3	42		0.5	1.0	00:07:57.00	
	10	3	42		1.0	1.0	00:00:46.00	
	10	2	42		0.5	1.0	00:24:02.00	
	10	4	42		1.0	0.33	00:00:00.00	
	10	2	42		1.0	1.0	00:15:20.00	
	10	4	42		0.0	0.0	00:00:00.00	
	10	2	42		0.5	0.66	00:57:07.00	
	10	2	42		1.0	0.33	00:09:06.00	
	10	2	42		0.5	0.33	00:14:39.00	
	10	3	42		1.0	0.33	00:00:00.00	
	10	4	42		0.5	0.33	00:00:00.00	
	10	3	42		0.5	0.33	00:06:29.00	
	10	2	42		1.0	0.66	00:09:01.00	
	10	4	42		0.5	1.0	00:08:00.00	
	10	4	42		0.5	0.66	00:00:00.00	
	10	3	42		0.5	0.66	00:19:15.00	
	10	3	42		0.0	0.0	00:00:48.00	
	10	2	42		0.0	0.0	00:11:37.00	
	10	4	42		1.0	0.66	00:00:00.00	

TIME WINDOWS OVERRUN
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Greedy	
	10	3	42	100	1.0	0.66	0	
	10	3	42	200	1.0	0.66	0	
	10	3	42	500	1.0	0.66	0	
	10	3	42	400	1.0	0.66	0	
	10	3	42	300	1.0	0.66	0	
	10	4	42	100	1.0	1.0	0	
	10	4	42	200	1.0	1.0	0	
	10	4	42	500	1.0	1.0	0	
	10	4	42	400	1.0	1.0	0	
	10	4	42	300	1.0	1.0	0	
	10	3	42	100	0.5	1.0	3	
	10	3	42	200	0.5	1.0	3	
	10	3	42	500	0.5	1.0	3	
	10	3	42	400	0.5	1.0	3	
	10	3	42	300	0.5	1.0	3	
	10	3	42	100	1.0	1.0	3	
	10	3	42	200	1.0	1.0	3	
	10	3	42	500	1.0	1.0	3	
	10	3	42	400	1.0	1.0	3	
	10	3	42	300	1.0	1.0	3	
	10	2	42	100	0.5	1.0	8	
	10	2	42	200	0.5	1.0	8	
	10	2	42	500	0.5	1.0	8	
	10	2	42	400	0.5	1.0	8	
	10	2	42	300	0.5	1.0	8	
	10	4	42	100	1.0	0.33	0	
	10	4	42	200	1.0	0.33	0	
	10	4	42	500	1.0	0.33	0	
	10	4	42	400	1.0	0.33	0	
	10	4	42	300	1.0	0.33	0	
	10	2	42	100	1.0	1.0	8	
	10	2	42	200	1.0	1.0	8	
	10	2	42	500	1.0	1.0	8	
	10	2	42	400	1.0	1.0	8	
	10	2	42	300	1.0	1.0	8	
	10	4	42	100	0.0	0.0	0	
	10	4	42	200	0.0	0.0	0	
	10	4	42	500	0.0	0.0	0	
	10	4	42	400	0.0	0.0	0	
	10	4	42	300	0.0	0.0	0	
	10	2	42	100	0.5	0.66	11	
	10	2	42	200	0.5	0.66	11	
	10	2	42	500	0.5	0.66	11	
	10	2	42	400	0.5	0.66	11	
	10	2	42	300	0.5	0.66	11	
	10	2	42	100	1.0	0.33	4	
	10	2	42	200	1.0	0.33	4	
	10	2	42	500	1.0	0.33	4	
	10	2	42	400	1.0	0.33	4	
	10	2	42	300	1.0	0.33	4	
	10	2	42	100	0.5	0.33	4	
	10	2	42	200	0.5	0.33	4	
	10	2	42	500	0.5	0.33	4	
	10	2	42	400	0.5	0.33	4	
	10	2	42	300	0.5	0.33	4	
	10	3	42	100	1.0	0.33	0	
